V,t
-64.30486891906907,20.825000000000003
-64.22081047658455,20.85
-64.17704716036286,20.875
-64.13278790256676,20.900000000000002
-64.07929128494786,20.925
-64.02572314995267,20.950000000000003
-63.97790490281906,20.975
-63.938313511576176,21.0
-63.90608150704444,21.025000000000002
-63.87589072036879,21.05
-63.833958185132545,21.075000000000003
-63.788664387884026,21.1
-63.74984722566909,21.125
-63.722613444289884,21.150000000000002
-63.70733863830478,21.175
-63.699667251028444,21.200000000000003
-63.69051257453178,21.225
-63.66738812563832,21.25
-63.63723905494034,21.275000000000002
-63.61426928344227,21.3
-63.604186577004015,21.325000000000003
-63.60523809253546,21.35
-63.608210377996436,21.375
-63.596429372396784,21.400000000000002
-63.5667939517612,21.425
-63.53824491713792,21.450000000000003
-63.496990498413055,21.475
-63.43814934477372,21.5
-63.36709225992965,21.525000000000002
-63.299442202113205,21.55
-63.259855535131784,21.575000000000003
-63.237477711369316,21.6
-63.217001026725384,21.625
-63.19571319106118,21.650000000000002
-63.17113442447082,21.675
-63.141017457281336,21.700000000000003
-63.103347530052694,21.725
-63.05634239357776,21.75
-62.99890177856871,21.775000000000002
-62.935569477201,21.8
-62.86808317600708,21.825000000000003
-62.79863082637736,21.85
-62.731714206228794,21.875
-62.67414892000492,21.900000000000002
-62.63506439867586,21.925
-62.62590389973829,21.950000000000003
-62.64010222120282,21.975
-62.617048388137135,22.0
-62.57831717060832,22.025000000000002
-62.54408506179086,22.05
-62.52278559022503,22.075000000000003
-62.5111093198169,22.1
-62.49400384983837,22.125
-62.44467381492712,22.150000000000002
-62.37579268582072,22.175
-62.33517829869742,22.200000000000003
-62.29494000771803,22.225
-62.23649019493492,22.25
-62.15205330791112,22.275000000000002
-62.04466585972033,22.3
-61.92817642894693,22.325000000000003
-61.82724565968597,22.35
-61.77734626154318,22.375
-61.78810096960363,22.400000000000002
-61.813036784553894,22.425
-61.822424551753166,22.450000000000003
-61.7989496430595,22.475
-61.73770877865211,22.5
-61.64621002703134,22.525000000000002
-61.54437280501871,22.55
-61.46452787775685,22.575000000000003
-61.40476956427118,22.6
-61.301874414555904,22.625
-61.20949347327589,22.650000000000002
-61.164956389740425,22.675
-61.18163966457048,22.700000000000003
-61.24896664969878,22.725
-61.33240754836976,22.75
-61.3734794151396,22.775000000000002
-61.326837868571964,22.8
-61.27104645130259,22.825000000000003
-61.21946288429024,22.85
-61.17499642411004,22.875
-61.13900754494251,22.900000000000002
-61.11130793857357,22.925
-61.090160514394505,22.950000000000003
-61.07227939940202,22.975
-61.052829938198194,23.0
-61.02542869299049,23.025000000000002
-60.984721252528296,23.05
-60.936470905859515,23.075000000000003
-60.88805512916154,23.1
-60.84430635928667,23.125
-60.80751079461864,23.150000000000002
-60.77740839507268,23.175
-60.751192882095445,23.200000000000003
-60.72351173866507,23.225
-60.68646620929111,23.25
-60.63678290310512,23.275000000000002
-60.602806789409684,23.3
-60.58958740065484,23.325000000000003
-60.59541358697183,23.35
-60.61582048054818,23.375
-60.643589495627694,23.400000000000002
-60.66874832851047,23.425
-60.67857095755289,23.450000000000003
-60.65757764316765,23.475
-60.58947961042117,23.5
-60.518390691554124,23.525000000000002
-60.464944702213934,23.55
-60.42299169169494,23.575000000000003
-60.387524889967075,23.6
-60.35468070767585,23.625
-60.32173873614235,23.650000000000002
-60.28712174736325,23.675
-60.25039569401079,23.700000000000003
-60.2122697094328,23.725
-60.170731930612405,23.75
-60.12160609933511,23.775000000000002
-60.075233052073564,23.8
-60.039285312803806,23.825000000000003
-60.017706998128794,23.85
-60.010713817278415,23.875
-60.01479307210945,23.900000000000002
-60.022703657105616,23.925
-60.02347605937754,23.950000000000003
-60.002412358662795,23.975
-59.94136614943093,24.0
-59.85374201150616,24.025000000000002
-59.76871878649251,24.05
-59.69859503101584,24.075000000000003
-59.65024477828633,24.1
-59.62511753809832,24.125
-59.619238296830474,24.150000000000002
-59.623207517445636,24.175
-59.62220113949095,24.200000000000003
